Label: Vasto lateral direito: EMG 1->Scale->Math Sampling frequency: 1,925926e+003 Number of points: 58682 X start: 0,000000e+000 Unit: Volts Domain Unit: s
X [s]	Vasto lateral direito: EMG 1->Scale->Math [Volts]
3,722885e-001	1,101930e-005
3,728077e-001	1,305364e-005
3,733269e-001	3,780468e-005
3,738462e-001	3,390555e-005
3,743654e-001	6,781109e-007
3,748846e-001	2,797208e-005
3,754038e-001	2,627680e-005
3,759231e-001	2,559869e-005
3,764423e-001	5,001068e-005
3,769615e-001	6,831968e-005
3,774808e-001	6,408149e-005
3,780000e-001	5,865659e-005
3,785192e-001	5,730037e-005
3,790385e-001	5,170596e-005
3,795577e-001	3,237980e-005
3,800769e-001	1,017166e-005
3,805962e-001	7,798276e-006
3,811154e-001	1,491844e-005
3,816346e-001	5,933471e-006
3,821538e-001	5,763943e-006
3,826731e-001	1,237552e-005
3,831923e-001	4,492485e-005
3,837115e-001	6,119951e-005
3,842308e-001	6,323384e-005
3,847500e-001	5,441840e-005
3,852692e-001	1,915663e-005
3,857885e-001	2,051286e-005
3,863077e-001	2,186908e-005
3,868269e-001	1,864805e-006
3,873462e-001	1,237552e-005
3,878654e-001	3,390555e-007
3,883846e-001	1,644419e-005
3,889038e-001	1,254505e-005
3,894231e-001	4,916305e-006
3,899423e-001	6,781109e-007
3,904615e-001	5,255360e-006
3,909808e-001	1,661372e-005
3,915000e-001	1,915663e-005
3,920192e-001	6,950637e-006
3,925385e-001	3,560082e-006
3,930577e-001	4,577249e-006
3,935769e-001	2,542916e-005
3,940962e-001	4,322957e-005
3,946154e-001	5,034974e-005
3,951346e-001	3,509224e-005
3,956538e-001	4,238194e-006
3,961731e-001	1,796994e-005
3,966923e-001	1,542702e-005
3,972115e-001	1,186694e-006
3,977308e-001	1,525750e-006
3,982500e-001	6,272526e-006
3,987692e-001	1,881758e-005
3,992885e-001	3,271886e-005
3,998077e-001	3,577035e-005
4,003269e-001	1,796994e-005
4,008462e-001	2,153002e-005
4,013654e-001	5,730037e-005
4,018846e-001	5,357077e-005
4,024038e-001	2,661586e-005
4,029231e-001	1,407080e-005
4,034423e-001	1,457938e-005
4,039615e-001	1,169741e-005
4,044808e-001	1,780041e-005
4,050000e-001	4,441626e-005
4,055192e-001	5,340124e-005
4,060385e-001	6,730251e-005
4,065577e-001	5,577462e-005
4,070769e-001	8,645915e-006
4,075962e-001	2,356436e-005
4,081154e-001	2,898924e-005
4,086346e-001	1,424033e-005
4,091538e-001	4,577249e-006
4,096731e-001	7,967803e-006
4,101923e-001	4,221241e-005
4,107115e-001	6,798062e-005
4,112308e-001	7,510078e-005
4,117500e-001	5,001068e-005
4,122692e-001	1,000214e-005
4,127885e-001	1,847852e-005
4,133077e-001	2,356436e-005
4,138269e-001	2,254719e-005
4,143462e-001	2,271672e-005
4,148654e-001	1,610514e-005
4,153846e-001	8,815442e-006
4,159038e-001	2,085191e-005
4,164231e-001	6,272526e-006
4,169423e-001	4,238194e-006
4,174615e-001	1,695277e-006
4,179808e-001	1,186694e-006
4,185000e-001	1,508797e-005
4,190192e-001	2,186908e-005
4,195385e-001	1,339269e-005
4,200577e-001	1,017166e-006
4,205769e-001	1,390127e-005
4,210962e-001	2,458152e-005
4,216154e-001	2,322530e-005
4,221346e-001	1,440986e-005
4,226538e-001	5,255360e-006
4,231731e-001	2,881972e-006
4,236923e-001	7,798276e-006
4,242115e-001	7,628748e-006
4,247308e-001	5,085832e-006
4,252500e-001	1,135836e-005
4,257692e-001	2,831113e-005
4,262885e-001	3,068452e-005
4,268077e-001	1,407080e-005
4,273269e-001	2,203861e-006
4,278462e-001	8,476387e-007
